GISJOIN,POPULATION
G1900050,14060
G1900070,12669
G1900090,5869
G1900110,25803
G1900130,132496
G1900150,26401
G1900170,24539
G1900190,20998
G1900210,20507
G1900230,14966
G1900250,9914
G1900270,20629
G1900290,13590
G1900310,18375
G1900330,43481
G1900350,11853
G1900370,12244
G1900390,9280
G1900410,16537
G1900430,17806
G1900450,48365
G1900470,17252
G1900490,74892
G1900510,8742
G1900530,8249
G1900550,17507
G1900570,40208
G1900590,16967
G1900610,95906
G1900630,9917
G1900650,20589
G1900670,16050
G1900690,10489
G1900710,7106
G1900730,9174
G1900750,12407
G1900770,10740
G1900790,15297
G1900810,11092
G1900830,17393
G1900850,14467
G1900870,20080
G1900890,9494
G1900910,9674
G1900930,7071
G1900950,16344
G1900970,19572
G1900990,36726
G1901010,17318
G1901030,139436
G1901050,20560
G1901070,10291
G1901090,15280
G1901110,35369
G1901130,216640
G1901150,11271
G1901170,8731
G1901190,11723
G1901210,15644
G1901230,22396
G1901250,33248
G1901270,40962
G1901290,14862
G1901310,10762
G1901330,9088
G1901350,8002
G1901370,10465
G1901390,42913
G1901410,14092
G1901430,6211
G1901450,15660
G1901470,9208
G1901490,24853
G1901510,7127
G1901530,452369
G1901550,93213
G1901570,18705
G1901590,5061
G1901610,10101
G1901630,169994
G1901650,11992
G1901670,34509
G1901690,93586
G1901710,17479
G1901730,6213
G1901750,12575
G1901770,7432
G1901790,35315
G1901810,47542
G1901830,22017
G1901850,6384
G1901870,37295
G1901890,10614
G1901910,20884
G1901930,102530
G1901950,7563
G1901970,12936
G2000010,13081
G2000030,7896
G2000050,16633
G2000070,4770
G2000090,27399
G2000110,14812
G2000130,9880
G2000150,66092
G2000170,2722
G2000190,3520
G2000210,20952
G2000230,2682
G2000250,2145
G2000270,8421
G2000290,9339
G2000310,8458
G2000330,2010
G2000350,36079
G2000370,39304
G2000390,2905
G2000410,19516
G2000430,7859
G2000450,114967
G2000470,2991
G2000490,2683
G2000510,28993
G2000530,6410
G2000550,37133
G2000570,34714
G2000590,25753
G2000610,36787
G2000630,2735
G2000650,2593
G2000670,7816
G2000690,6065
G2000710,1224
G2000730,6393
G2000750,2586
G2000770,5861
G2000790,34835
G2000810,4130
G2000830,1939
G2000850,13400
G2000870,18898
G2000890,3038
G2000910,566814
G2000930,3952
G2000950,7790
G2000970,2536
G2000990,21048
G2001010,1674
G2001030,78227
G2001050,3154
G2001070,9528
G2001090,2793
G2001110,33462
G2001130,29252
G2001150,12290
G2001170,10005
G2001190,4383
G2001210,32688
G2001230,6296
G2001250,34184
G2001270,5750
G2001290,3106
G2001310,10159
G2001330,16423
G2001350,3077
G2001370,5590
G2001390,16080
G2001410,3782
G2001430,6048
G2001450,6911
G2001470,5501
G2001490,22625
G2001510,9739
G2001530,2545
G2001550,64058
G2001570,4806
G2001590,10014
G2001610,75022
G2001630,5186
G2001650,3184
G2001670,6988
G2001690,55735
G2001710,4928
G2001730,506529
G2001750,23274
G2001770,178792
G2001790,2531
G2001810,6054
G2001830,3740
G2001850,4320
G2001870,2149
G2001890,5772
G2001910,23638
G2001930,7925
G2001950,2951
G2001970,6997
G2001990,1595
G2002010,5686
G2002030,2204
G2002050,9061
G2002070,3211
G2002090,160806
G2100010,18852
G2100030,20355
G2100050,21761
G2100070,8256
G2100090,42925
G2100110,11978
G2100130,27950
G2100150,124617
G2100170,20013
G2100190,48917
G2100210,29388
G2100230,8425
G2100250,13591
G2100270,20061
G2100290,76961
G2100310,12835
G2100330,12826
G2100350,38106
G2100370,91475
G2100390,4984
G2100410,10830
G2100430,27326
G2100450,15954
G2100470,74159
G2100490,35657
G2100510,21300
G2100530,10188
G2100550,9222
G2100570,6807
G2100590,98173
G2100610,12105
G2100630,7725
G2100650,14476
G2100670,308306
G2100690,14544
G2100710,38649
G2100730,49778
G2100750,6422
G2100770,8567
G2100790,16976
G2100810,24670
G2100830,37502
G2100850,26001
G2100870,11149
G2100890,36477
G2100910,8669
G2100930,107529
G2100950,28400
G2100970,18648
G2100990,18441
G2101010,46396
G2101030,15455
G2101050,4720
G2101070,46518
G2101090,13357
G2101110,755809
G2101130,50328
G2101150,23350
G2101170,163007
G2101190,16000
G2101210,31809
G2101230,14149
G2101250,59751
G2101270,15821
G2101290,7119
G2101310,10997
G2101330,23671
G2101350,13790
G2101370,24498
G2101390,9394
G2101410,26851
G2101430,8402
G2101450,65408
G2101470,18001
G2101490,9500
G2101510,85838
G2101530,12979
G2101550,19717
G2101570,31181
G2101590,12631
G2101610,17296
G2101630,29098
G2101650,6343
G2101670,21342
G2101690,9985
G2101710,10765
G2101730,27167
G2101750,13428
G2101770,31309
G2101790,44564
G2101810,7075
G2101830,24065
G2101850,63037
G2101870,10711
G2101890,4616
G2101910,14514
G2101930,28041
G2101950,63434
G2101970,12447
G2101990,63635
G2102010,2208
G2102030,16942
G2102050,23608
G2102070,17669
G2102090,50178
G2102110,44290
G2102130,17704
G2102150,17577
G2102170,24993
G2102190,12524
G2102210,14250
G2102230,8783
G2102250,15138
G2102270,118950
G2102290,11910
G2102310,20655
G2102330,13357
G2102350,35794
G2102370,7261
G2102390,25317
G2200010,62163
G2200030,25653
G2200050,114738
G2200070,23057
G2200090,41389
G2200110,36259
G2200130,13977
G2200150,123403
G2200170,254742
G2200190,195887
G2200210,9990
G2200230,6706
G2200250,10247
G2200270,16639
G2200290,20449
G2200310,26965
G2200330,444690
G2200350,7501
G2200370,19855
G2200390,33768
G2200410,20550
G2200430,22362
G2200450,73938
G2200470,33229
G2200490,16109
G2200510,435092
G2200530,31434
G2200550,231811
G2200570,97474
G2200590,14899
G2200610,47349
G2200630,133949
G2200650,11873
G2200670,27012
G2200690,39330
G2200710,376738
G2200730,155769
G2200750,23599
G2200770,22498
G2200790,132225
G2200810,8838
G2200830,20777
G2200850,24248
G2200870,42858
G2200890,52639
G2200910,10818
G2200930,21650
G2200950,44161
G2200970,83613
G2200990,53126
G2201010,53441
G2201030,242960
G2201050,125486
G2201070,4893
G2201090,112742
G2201110,22533
G2201130,59110
G2201150,52476
G2201170,46556
G2201190,40617
G2201210,24669
G2201230,11454
G2201250,15415
G2201270,14855
G2300010,107393
G2300030,70005
G2300050,286119
G2300070,30402
G2300090,54658
G2300110,121112
G2300130,39723
G2300150,34156
G2300170,57421
G2300190,153437
G2300210,17156
G2300230,35092
G2300250,51577
G2300270,38976
G2300290,32191
G2300310,199682
G2400010,73549
G2400030,555280
G2400050,822959
G2400090,90114
G2400110,32661
G2400130,167444
G2400150,101960
G2400170,152754
G2400190,32534
G2400210,241373
G2400230,29813
G2400250,248966
G2400270,304115
G2400290,19923
G2400310,1017859
G2400330,892816
G2400350,48600
G2400370,109614
G2400390,25980
G2400410,37799
G2400430,149270
G2400450,101182
G2400470,51519
G2405100,622454
G2500010,214766
G2500030,129288
G2500050,552763
G2500070,17048
G2500090,763849
G2500110,71144
G2500130,468041
G2500150,160759
G2500170,1556116
G2500190,10556
G2500210,687721
G2500230,503681
G2500250,758919
G2500270,810935
G2600010,10550
G2600030,9476
G2600050,112837
G2600070,29068
G2600090,23267
G2600110,15424
G2600130,8690
G2600150,59147
G2600170,106698
G2600190,17437
G2600210,155565
G2600230,43706
G2600250,134790
G2600270,51952
G2600290,26134
G2600310,25690
G2600330,38586
G2600350,30710
G2600370,76905
G2600390,13895
G2600410,36712
G2600430,26012
G2600450,108341
G2600470,33018
G2600490,415874
G2600510,25501
G2600530,15824
G2600550,89907
G2600570,41878
G2600590,46178
G2600610,36660
G2600630,32290
G2600650,283491
G2600670,64064
G2600690,25401
G2600710,11507
G2600730,70669
G2600750,159759
G2600770,256752
G2600790,17230
G2600810,622590
G2600830,2198
G2600850,11426
G2600870,88235
G2600890,21772
G2600910,98902
G2600930,184591
G2600950,6477
G2600970,11044
G2600990,854689
G2601010,24536
G2601030,67582
G2601050,28711
G2601070,43301
G2601090,23717
G2601110,83624
G2601130,14988
G2601150,150436
G2601170,63004
G2601190,9401
G2601210,171483
G2601230,48029
G2601250,1229503
G2601270,26229
G2601290,21222
G2601310,6298
G2601330,23234
G2601350,8444
G2601370,24141
G2601390,273136
G2601410,13037
G2601430,24068
G2601450,196479
G2601470,160429
G2601490,61022
G2601510,42014
G2601530,8288
G2601550,69113
G2601570,54420
G2601590,75351
G2601610,354092
G2601630,1778969
G2601650,32751
G2700010,15839
G2700030,338764
G2700050,33138
G2700070,45434
G2700090,39221
G2700110,5134
G2700130,65125
G2700150,25391
G2700170,35443
G2700190,95715
G2700210,28519
G2700230,12154
G2700250,53834
G2700270,60879
G2700290,8752
G2700310,5194
G2700330,11632
G2700350,63048
G2700370,408456
G2700390,20290
G2700410,36620
G2700430,14230
G2700450,20843
G2700470,30897
G2700490,46377
G2700510,5961
G2700530,1197776
G2700550,18812
G2700570,20574
G2700590,38296
G2700610,45354
G2700630,10211
G2700650,16003
G2700670,42444
G2700690,4480
G2700710,13054
G2700730,7023
G2700750,10750
G2700770,3949
G2700790,27707
G2700810,5808
G2700830,25699
G2700850,36046
G2700870,5496
G2700890,9453
G2700910,20350
G2700930,23129
G2700950,25809
G2700970,32962
G2700990,39227
G2701010,8529
G2701030,33086
G2701050,21687
G2701070,6692
G2701090,148736
G2701110,57511
G2701130,14110
G2701150,29218
G2701170,9354
G2701190,31547
G2701210,10948
G2701230,527411
G2701250,4061
G2701270,15723
G2701290,15171
G2701310,64886
G2701330,9563
G2701350,15615
G2701370,200506
G2701390,137322
G2701410,90401
G2701430,15021
G2701450,152595
G2701470,36523
G2701490,9771
G2701510,9525
G2701530,24466
G2701550,3429
G2701570,21381
G2701590,13759
G2701610,19076
G2701630,246670
G2701650,11054
G2701670,6526
G2701690,51213
G2701710,128691
G2701730,10092
G2800010,31979
G2800030,37319
G2800050,12840
G2800070,19175
G2800090,8470
G2800110,33803
G2800130,14789
G2800150,10338
G2800170,17391
G2800190,8354
G2800210,9330
G2800230,16362
G2800250,20279
G2800270,25254
G2800290,28921
G2800310,19471
G2800330,168586
G2800350,76267
G2800370,7857
G2800390,23104
G2800410,14129
G2800430,21591
G2800450,45627
G2800470,196268
G2800490,245874
G2800510,18772
G2800530,8984
G2800550,1291
G2800570,23451
G2800590,140676
G2800610,16588
G2800630,7586
G2800650,11941
G2800670,68276
G2800690,10211
G2800710,51169
G2800730,58885
G2800750,79832
G2800770,12586
G2800790,23153
G2800810,85036
G2800830,31516
G2800850,34765
G2800870,59699
G2800890,100202
G2800910,26109
G2800930,36385
G2800950,36175
G2800970,10464
G2800990,29553
G2801010,21663
G2801030,11143
G2801050,49048
G2801070,34373
G2801090,55196
G2801110,12187
G2801130,40075
G2801150,30517
G2801170,25380
G2801190,7761
G2801210,146761
G2801230,28293
G2801250,4805
G2801270,27401
G2801290,16257
G2801310,17978
G2801330,27911
G2801350,14959
G2801370,28415
G2801390,22054
G2801410,19539
G2801430,10477
G2801450,27811
G2801470,14978
G2801490,48020
G2801510,49499
G2801530,20564
G2801550,9999
G2801570,9345
G2801590,18697
G2801610,12381
G2801630,27911
G2900010,25560
G2900030,17328
G2900050,5440
G2900070,25783
G2900090,35726
G2900110,12166
G2900130,16643
G2900150,18854
G2900170,12356
G2900190,170770
G2900210,89561
G2900230,42951
G2900250,9083
G2900270,44566
G2900290,43927
G2900310,77606
G2900330,9096
G2900350,6284
G2900370,100781
G2900390,13892
G2900410,7650
G2900430,80904
G2900450,6919
G2900470,230361
G2900490,20498
G2900510,76533
G2900530,17593
G2900550,24660
G2900570,7618
G2900590,16564
G2900610,8277
G2900630,12782
G2900650,15612
G2900670,13516
G2900690,31562
G2900710,101828
G2900730,14948
G2900750,6785
G2900770,283206
G2900790,10256
G2900810,8722
G2900830,22034
G2900850,9335
G2900870,4615
G2900890,10182
G2900910,40326
G2900930,10322
G2900950,680905
G2900970,117184
G2900990,221577
G2901010,54155
G2901030,4035
G2901050,35514
G2901070,32916
G2901090,38244
G2901110,10172
G2901130,53850
G2901150,12401
G2901170,15042
G2901190,22763
G2901210,15460
G2901230,12401
G2901250,9057
G2901270,28840
G2901290,3718
G2901310,24956
G2901330,14208
G2901350,15801
G2901370,8680
G2901390,11939
G2901410,20225
G2901430,18411
G2901450,58777
G2901470,23186
G2901490,10979
G2901510,13758
G2901530,9537
G2901550,17837
G2901570,19100
G2901590,42215
G2901610,45029
G2901630,18517
G2901650,93394
G2901670,31107
G2901690,53443
G2901710,4895
G2901730,10243
G2901750,25135
G2901770,23031
G2901790,6578
G2901810,13990
G2901830,374805
G2901850,9520
G2901860,17990
G2901870,66010
G2901890,1001327
G2901950,23334
G2901970,4395
G2901990,4873
G2902010,39061
G2902030,8317
G2902050,6179
G2902070,29837
G2902090,31375
G2902110,6512
G2902130,53555
G2902150,25735
G2902170,20878
G2902190,33043
G2902210,25048
G2902230,13397
G2902250,36690
G2902270,2082
G2902290,18449
G2905100,317850
G3000010,9291
G3000030,13141
G3000050,6598
G3000070,5692
G3000090,10268
G3000110,1227
G3000130,82090
G3000150,5855
G3000170,11945
G3000190,1758
G3000210,9365
G3000230,9211
G3000250,3057
G3000270,11468
G3000290,93333
G3000310,95323
G3000330,1047
G3000350,13672
G3000370,756
G3000390,3168
G3000410,16523
G3000430,11502
G3000450,1997
G3000470,29157
G3000490,65357
G3000510,2369
G3000530,19337
G3000550,1728
G3000570,7767
G3000590,1898
G3000610,4238
G3000630,111966
G3000650,4790
G3000670,15708
G3000690,443
G3000710,4167
G3000730,6206
G3000750,1703
G3000770,6975
G3000790,1372
G3000810,40823
G3000830,11132
G3000850,11072
G3000870,9352
G3000890,11346
G3000910,3630
G3000930,34549
G3000950,9288
G3000970,3633
G3000990,6074
G3001010,5150
G3001030,812
G3001050,7577
G3001070,2115
G3001090,986
G3001110,153692
G3100010,31442
G3100030,6486
G3100050,448
G3100070,820
G3100090,551
G3100110,5373
G3100130,11310
G3100150,2039
G3100170,3078
G3100190,47958
G3100210,6647
G3100230,8256
G3100250,25360
G3100270,8675
G3100290,3897
G3100310,5770
G3100330,10077
G3100350,6382
G3100370,10522
G3100390,9078
G3100410,10802
G3100430,20798
G3100450,9136
G3100470,24069
G3100490,1946
G3100510,5866
G3100530,36725
G3100550,537655
G3100570,2015
G3100590,5697
G3100610,3105
G3100630,2573
G3100650,4887
G3100670,21818
G3100690,1823
G3100710,1933
G3100730,1976
G3100750,769
G3100770,2476
G3100790,60792
G3100810,9100
G3100830,3458
G3100850,1084
G3100870,2879
G3100890,10398
G3100910,681
G3100930,6347
G3100950,7433
G3100970,5167
G3100990,6549
G3101010,8146
G3101030,711
G3101050,3720
G3101070,8556
G3101090,298080
G3101110,35896
G3101130,851
G3101150,548
G3101170,433
G3101190,35111
G3101210,7776
G3101230,4874
G3101250,3639
G3101270,7168
G3101290,4391
G3101310,15842
G3101330,2726
G3101350,2924
G3101370,9216
G3101390,7184
G3101410,32642
G3101430,5271
G3101450,10946
G3101470,8201
G3101490,1401
G3101510,14360
G3101530,169192
G3101550,20913
G3101570,36684
G3101590,16998
G3101610,5294
G3101630,3107
G3101650,1249
G3101670,6081
G3101690,5182
G3101710,675
G3101730,6946
G3101750,4254
G3101770,20257
